household,article_aligned,pv_mode,raw_charging_events,generic_valid_events,article_aligned_events,nonpositive_or_missing_energy,energy_gt_64_kwh,active_power_gt_7p4_kw,max_energy_kwh,max_active_avg_kw,max_reconstruction_residual_kwh,pv_rows,pv_missing_raw,pv_negative_raw,pv_above_1p05_kwh_raw,pv_min_raw_kwh,pv_max_raw_kwh,pv_missing_after_article_alignment,active_days,cal_days,hold_days,admitted_energy_kwh,event_mode,pv_scale,grid,axis,quantile,value,unit
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,E,0.9,8.182,kWh
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,E,0.95,10.208,kWh
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,P,0.25,0.312,kW
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,P,0.5,1.424,kW
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,P,0.75,2,kW
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,P,0.9,4.308,kW
id01,False,native,153,153,151,0,2,0,66.204,6.89122807018,7.1054273576e-15,52945,0,1,1,-0.6572017773,2.14159104663,0,153,107,46,2934.997,event_window,1,5x5,P,0.95,5.393,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,E,0.5,1.955,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,E,0.75,5.079,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,E,0.9,7.048,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,P,0.5,0.896,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,P,0.75,2.264,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,3x3,P,0.9,4.35,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,E,0.25,0,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,E,0.5,1.955,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,E,0.75,5.079,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,E,0.9,7.048,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,E,0.95,8.098,kWh
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,P,0.25,0,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,P,0.5,0.896,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,P,0.75,2.264,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,P,0.9,4.35,kW
id02,False,native,295,292,287,3,5,0,71.266,7.28076138681,7.1054273576e-15,54095,0,1,1,-1.85739632977,2.20274038952,0,260,182,78,8302.117,event_window,1,5x5,P,0.95,4.996,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,E,0.5,1.408,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,E,0.75,4.626,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,E,0.9,8.522,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,P,0.5,0.646,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,P,0.75,1.544,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,3x3,P,0.9,4.135,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,E,0.25,0,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,E,0.5,1.408,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,E,0.75,4.626,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,E,0.9,8.522,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,E,0.95,9.716,kWh
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,P,0.25,0,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,P,0.5,0.646,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,P,0.75,1.544,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,P,0.9,4.135,kW
id03,False,native,89,89,87,0,2,0,64.842,7.37090352221,7.1054273576e-15,52129,0,0,1,0,2.75350796761,0,136,95,41,2697.42,event_window,1,5x5,P,0.95,4.782,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,E,0.5,3.327,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,E,0.75,7.506,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,E,0.9,11.329,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,P,0.5,1.479,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,P,0.75,2.153,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,3x3,P,0.9,3.554,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,E,0.25,0.056,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,E,0.5,3.327,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,E,0.75,7.506,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,E,0.9,11.329,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,E,0.95,12.13,kWh
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,P,0.25,0.023,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,P,0.5,1.479,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,P,0.75,2.153,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,P,0.9,3.554,kW
id04,False,native,201,200,200,1,0,0,59.239,7.36693548387,7.1054273576e-15,53569,0,1,2,-0.00224905353572,2.94944772843,0,267,186,81,5691.801,event_window,1,5x5,P,0.95,3.852,kW
